频道名称,tvg-id,tvg-name,Logo链接,频道分类,播放地址,单播ID,分辨率
桐乡新闻综合,桐乡新闻综合,桐乡新闻综合,桐乡新闻综合.png,地方,233.50.201.169:5140,,720x576
衢州新闻综合,衢州新闻综合,衢州新闻综合,衢州新闻综合.png,地方,233.50.202.11:5140,,1920x1080
衢州公共,衢州公共,衢州公共,衢州公共.png,地方,233.50.202.12:5140,,1920x1080
多彩文体,多彩文体,多彩文体,多彩文体.png,付费,233.50.201.189:5140,72486903,1920x1080
都市剧场,都市剧场,都市剧场,都市剧场.png,付费,233.50.201.190:5140,72486949,1920x1080
法治天地,法治天地,法治天地,法治天地.png,付费,233.50.201.191:5140,72486983,1920x1080
动漫秀场,动漫秀场,动漫秀场,动漫秀场.png,付费,233.50.201.184:5140,72486905,1920x1080
游戏风云,游戏风云,游戏风云,游戏风云.png,付费,233.50.201.183:5140,72488479,1920x1080
乐游,乐游,乐游,乐游.png,付费,233.50.201.185:5140,72486833,1920x1080
金色学堂,金色学堂,金色学堂,金色学堂.png,付费,233.50.201.186:5140,72486945,1920x1080
生活时尚,生活时尚,生活时尚,生活时尚.png,付费,233.50.201.187:5140,72486904,1920x1080
快乐垂钓,快乐垂钓,快乐垂钓,快乐垂钓.png,付费,233.50.201.109:5140,72487515,1920x1080
睛彩竞技,睛彩竞技,睛彩竞技,睛彩竞技.png,付费,233.50.200.245:5140,94611400,1920x1080
东方财经,东方财经,东方财经,东方财经.png,其他,233.50.201.128:5140,139134632,1920x1080
第一财经,第一财经,第一财经,第一财经.png,其他,233.50.200.125:5140,,1920x1080
环球旅游,环球旅游,环球旅游,环球旅游.png,其他,233.50.202.31:5140,103499734,720x576
生态环境,生态环境,生态环境,生态环境.png,其他,233.50.202.103:5140,133688506,1920x1080
浙江之声广播,浙江之声广播,浙江之声广播,浙江之声广播.png,广播,233.50.201.79:5140,4844,无视频流
浙江新闻广播,浙江新闻广播,浙江新闻广播,浙江新闻广播.png,广播,233.50.201.80:5140,4851,无视频流
浙江经济广播,浙江经济广播,浙江经济广播,浙江经济广播.png,广播,233.50.201.81:5140,4845,无视频流
浙江音乐调频,浙江音乐调频,浙江音乐调频,浙江音乐调频.png,广播,233.50.201.82:5140,4846,无视频流
浙江交通之声,浙江交通之声,浙江交通之声,浙江交通之声.png,广播,233.50.201.83:5140,4847,无视频流
浙江旅游之声,浙江旅游之声,浙江旅游之声,浙江旅游之声.png,广播,233.50.201.84:5140,4848,无视频流
浙江城市之声,浙江城市之声,浙江城市之声,浙江城市之声.png,广播,233.50.201.85:5140,4850,无视频流
浙江民生资讯广播,浙江民生资讯广播,浙江民生资讯广播,浙江民生资讯广播.png,广播,233.50.201.86:5140,4849,无视频流
