ChannelID,ChannelName,ChannelGroup,Tvg-id,Tvg-name,Logo,ChannelURL_igmp,ChannelURL_rtsp,TimeShift,TimeShiftLength,BackTime,Index,Resolution
4844,浙江之声广播,广播,浙江之声广播,浙江之声广播,浙江之声广播.png,233.50.201.79:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228218/10000100000000060000000003102657_0.smil,0,0,0,1101.0,无视频流
4851,浙江新闻广播,广播,浙江新闻广播,浙江新闻广播,浙江新闻广播.png,233.50.201.80:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228332/10000100000000060000000003102947_0.smil,0,0,0,1102.0,无视频流
4845,浙江经济广播,广播,浙江经济广播,浙江经济广播,浙江经济广播.png,233.50.201.81:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228223/10000100000000060000000003102668_0.smil,0,0,0,1103.0,无视频流
4846,浙江音乐调频,广播,浙江音乐调频,浙江音乐调频,浙江音乐调频.png,233.50.201.82:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228228/10000100000000060000000003102672_0.smil,0,0,0,1104.0,无视频流
4847,浙江交通之声,广播,浙江交通之声,浙江交通之声,浙江交通之声.png,233.50.201.83:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228265/10000100000000060000000003102675_0.smil,0,0,0,1105.0,无视频流
4848,浙江旅游之声,广播,浙江旅游之声,浙江旅游之声,浙江旅游之声.png,233.50.201.84:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228327/10000100000000060000000003102677_0.smil,0,0,0,1106.0,无视频流
4850,浙江城市之声,广播,浙江城市之声,浙江城市之声,浙江城市之声.png,233.50.201.85:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228291/10000100000000060000000003102680_0.smil,0,0,0,1107.0,无视频流
4849,浙江民生资讯广播,广播,浙江民生资讯广播,浙江民生资讯广播,浙江民生资讯广播.png,233.50.201.86:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228233/10000100000000060000000003102678_0.smil,0,0,0,1108.0,无视频流
139134632,东方财经,其他,,,,233.50.201.128:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229471/139134633.smil,0,0,0,9901.0,1920x1080
103499734,环球旅游,其他,环球旅游,环球旅游,环球旅游.png,233.50.202.31:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229415/103499735.smil,0,0,0,9991.0,无视频流
133688506,生态环境,其他,生态环境,生态环境,生态环境.png,233.50.202.103:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229458/133688507.smil,0,0,0,9992.0,无视频流
4364,高清导视,其他,,,,233.50.201.108:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228038/10000100000000060000000001122729_0.smil,1,60,0,9999.0,1920x1080
4464,导视频道,其他,,,,233.50.201.20:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221228087/10000100000000060000000001432912_0.smil,0,0,0,9999.0,720x576
5527,直播室4,其他,,,,233.50.201.204:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229007/10000100000000060000000004308260_0.smil,1,7200,0,9999.0,1920x1080
5528,直播室5,其他,,,,233.50.201.205:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229011/10000100000000060000000004308262_0.smil,1,7200,0,9999.0,1920x1080
5529,直播室6,其他,,,,233.50.201.206:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229015/10000100000000060000000004308263_0.smil,1,7200,0,9999.0,1920x1080
5672,央广购物,其他,,,,233.50.201.93:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229017/10000100000000060000000004414507_0.smil,1,7200,3,9999.0,720x576
5376124,珠峰直播2,其他,,,,233.50.201.227:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229068/10000100000000060000000005029495_0.smil,0,0,0,9999.0,1920x1080
5376126,4K测试1,其他,,,,233.50.201.225:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229167/10000100000000060000000005029497_0.smil,0,0,0,9999.0,1920x1080
49384089,信号测试2,其他,,,,233.50.201.226:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229177/49384090.smil,0,0,0,9999.0,1920x1080
50701499,信号测试3,其他,,,,233.50.201.224:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229181/50701500.smil,1,60,0,9999.0,1920x1080
53485721,好易购1高清,其他,,,,233.50.201.248:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229213/53485722.smil,1,60,3,9999.0,1920x1080
67227294,熊猫宝宝幼儿园,其他,,,,233.50.201.194:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229232/67227295.smil,0,0,0,9999.0,1920x1080
67227365,大熊猫的一天,其他,,,,233.50.201.195:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229269/67227366.smil,0,0,0,9999.0,1920x1080
67227410,爱看熊猫,其他,,,,233.50.201.193:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229303/67227411.smil,0,0,0,9999.0,1920x1080
148085438,直播室3,其他,,,,233.50.202.28:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229469/148085439.smil,1,7200,0,9999.0,1920x1080
148085485,直播室2,其他,,,,233.50.202.27:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229488/148085486.smil,1,7200,0,9999.0,1920x1080
148085490,直播室7,其他,,,,233.50.202.29:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229472/148085491.smil,1,7200,0,9999.0,1920x1080
148085529,直播室1,其他,,,,233.50.202.26:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229466/148085530.smil,1,7200,0,9999.0,1920x1080
148775760,快乐垂钓,其他,,,,233.50.201.109:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229491/148775761.smil,0,0,0,9999.0,1920x1080
148775849,好享购,其他,,,,233.50.202.103:5140,rtsp://115.233.41.137/PLTV/88888913/224/3221229475/148775850.smil,0,0,0,9999.0,1920x1080
